#Insert size (bp)	insert size
523.0	68165.0
524.0	68428.0
525.0	67610.0
526.0	67529.0
527.0	65417.0
528.0	64692.0
529.0	64546.0
530.0	63004.0
531.0	62719.0
532.0	61511.0
533.0	61551.0
534.0	60567.0
535.0	59555.0
536.0	58779.0
537.0	57947.0
538.0	57107.0
539.0	55838.0
540.0	55447.0
541.0	54285.0
542.0	53145.0
543.0	52038.0
544.0	51186.0
545.0	50351.0
546.0	49446.0
547.0	48202.0
548.0	47105.0
549.0	46273.0
550.0	45005.0
551.0	43847.0
552.0	43082.0
553.0	41765.0
554.0	41097.0
555.0	40162.0
556.0	39460.0
557.0	38285.0
558.0	37064.0
559.0	36156.0
560.0	34920.0
561.0	33995.0
562.0	33598.0
563.0	32760.0
564.0	31326.0
565.0	30583.0
566.0	30296.0
567.0	29199.0
568.0	28258.0
569.0	27270.0
570.0	26675.0
571.0	26008.0
572.0	25345.0
573.0	24803.0
574.0	24009.0
575.0	23540.0
576.0	23055.0
577.0	22032.0
578.0	21424.0
579.0	21223.0
580.0	20479.0
581.0	20197.0
582.0	19877.0
583.0	19427.0
584.0	18804.0
585.0	18484.0
586.0	18116.0
587.0	17786.0
588.0	17698.0
589.0	17000.0
590.0	16808.0
591.0	16733.0
592.0	16242.0
593.0	15971.0
594.0	15743.0
595.0	15373.0
596.0	15399.0
597.0	15330.0
598.0	15068.0
599.0	15016.0
600.0	14609.0
601.0	14607.0
602.0	14291.0
603.0	14418.0
604.0	14033.0
605.0	14137.0
606.0	14326.0
607.0	13918.0
608.0	13835.0
609.0	13966.0
610.0	13849.0
611.0	13817.0
612.0	13788.0
613.0	13855.0
614.0	13676.0
615.0	13765.0
616.0	13599.0
617.0	13267.0
618.0	13437.0
619.0	13545.0
620.0	13355.0
621.0	13352.0
622.0	13562.0
623.0	13328.0
624.0	13468.0
625.0	13164.0
626.0	13277.0
627.0	13321.0
628.0	13311.0
629.0	13396.0
630.0	12843.0
631.0	12952.0
632.0	13043.0
633.0	13048.0
634.0	12684.0
635.0	12820.0
636.0	12787.0
637.0	12945.0
638.0	12684.0
639.0	12761.0
640.0	12646.0
641.0	12671.0
642.0	12564.0
643.0	12761.0
644.0	12514.0
645.0	12525.0
646.0	12608.0
647.0	12516.0
648.0	12771.0
649.0	12465.0
650.0	12653.0
651.0	12678.0
652.0	12670.0
653.0	12783.0
654.0	12684.0
655.0	12999.0
656.0	12542.0
