Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
BACW_57_1_val_1	(20, 6702.0)	(25, 13455.0)	(30, 21014.0)	(35, 32437.0)	(40, 47694.0)	(45, 53391.0)	(50, 63908.0)	(55, 78009.0)	(60, 102283.0)	(65, 95203.0)	(70, 163304.0)	(75, 137532.0)	(80, 217626.0)	(85, 214516.0)	(90, 316239.0)	(95, 322175.0)	(100, 609402.0)	(105, 532306.0)	(110, 1229708.0)	(115, 1620232.0)	(120, 3144166.0)	(125, 85995696.0)	(130, 122749731.0)
BACW_57_2	(150, 217871798.0)																						
BACW_57_2_val_2	(20, 23405.0)	(25, 31275.0)	(30, 42521.0)	(35, 58742.0)	(40, 77060.0)	(45, 87449.0)	(50, 105293.0)	(55, 125526.0)	(60, 149297.0)	(65, 148816.0)	(70, 225059.0)	(75, 202285.0)	(80, 292432.0)	(85, 287567.0)	(90, 397299.0)	(95, 423972.0)	(100, 720882.0)	(105, 656701.0)	(110, 1395121.0)	(115, 1894318.0)	(120, 3825061.0)	(125, 116154386.0)	(130, 90442262.0)
BACW_58_1	(150, 234217760.0)																						
BACW_58_1_val_1	(20, 6236.0)	(25, 10091.0)	(30, 15410.0)	(35, 24360.0)	(40, 38170.0)	(45, 45255.0)	(50, 57106.0)	(55, 72687.0)	(60, 100722.0)	(65, 96342.0)	(70, 172083.0)	(75, 156927.0)	(80, 254673.0)	(85, 264502.0)	(90, 371332.0)	(95, 391110.0)	(100, 705163.0)	(105, 628120.0)	(110, 1417247.0)	(115, 1851069.0)	(120, 3548538.0)	(125, 93540637.0)	(130, 130364025.0)
BACW_58_2	(150, 234217760.0)																						
BACW_58_2_val_2	(20, 18838.0)	(25, 23865.0)	(30, 31295.0)	(35, 43013.0)	(40, 59138.0)	(45, 70111.0)	(50, 87782.0)	(55, 108518.0)	(60, 135924.0)	(65, 136780.0)	(70, 217858.0)	(75, 206543.0)	(80, 310422.0)	(85, 318308.0)	(90, 432071.0)	(95, 469295.0)	(100, 787510.0)	(105, 717688.0)	(110, 1532794.0)	(115, 2047715.0)	(120, 4048999.0)	(125, 124997007.0)	(130, 97330331.0)
BACW_59_1	(150, 220881881.0)																						
BACW_59_1_val_1	(20, 5873.0)	(25, 9471.0)	(30, 13551.0)	(35, 21264.0)	(40, 29940.0)	(45, 36095.0)	(50, 42847.0)	(55, 56704.0)	(60, 77033.0)	(65, 76320.0)	(70, 132453.0)	(75, 115364.0)	(80, 182134.0)	(85, 186305.0)	(90, 273597.0)	(95, 277987.0)	(100, 537490.0)	(105, 450781.0)	(110, 1050859.0)	(115, 1360299.0)	(120, 2753514.0)	(125, 88261118.0)	(130, 124837502.0)
BACW_59_2	(150, 220881881.0)																						
BACW_59_2_val_2	(20, 20187.0)	(25, 25021.0)	(30, 31471.0)	(35, 42920.0)	(40, 53799.0)	(45, 63462.0)	(50, 76057.0)	(55, 95547.0)	(60, 115414.0)	(65, 119832.0)	(70, 182050.0)	(75, 167812.0)	(80, 241328.0)	(85, 242683.0)	(90, 336825.0)	(95, 359249.0)	(100, 623703.0)	(105, 546479.0)	(110, 1178666.0)	(115, 1574329.0)	(120, 3283443.0)	(125, 118825672.0)	(130, 92582552.0)
BACW_64_1	(150, 250636042.0)																						
BACW_64_1_val_1	(20, 6080.0)	(25, 8852.0)	(30, 12755.0)	(35, 18889.0)	(40, 27785.0)	(45, 35418.0)	(50, 46386.0)	(55, 62717.0)	(60, 88620.0)	(65, 88220.0)	(70, 158913.0)	(75, 143289.0)	(80, 230316.0)	(85, 235987.0)	(90, 339420.0)	(95, 344955.0)	(100, 656100.0)	(105, 561146.0)	(110, 1348401.0)	(115, 1812891.0)	(120, 3558209.0)	(125, 101096589.0)	(130, 139658949.0)
BACW_64_2	(150, 250636042.0)																						
BACW_64_2_val_2	(20, 20374.0)	(25, 24580.0)	(30, 30686.0)	(35, 40855.0)	(40, 52061.0)	(45, 63496.0)	(50, 80364.0)	(55, 102709.0)	(60, 128714.0)	(65, 132646.0)	(70, 212352.0)	(75, 198395.0)	(80, 292037.0)	(85, 296828.0)	(90, 406247.0)	(95, 429283.0)	(100, 749438.0)	(105, 659061.0)	(110, 1474999.0)	(115, 2024964.0)	(120, 4068845.0)	(125, 133908774.0)	(130, 105143179.0)
