Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
BACW_50_1	(13.0, 1.0)	(14.0, 23.0)	(15.0, 180.0)	(16.0, 725.0)	(17.0, 2036.0)	(18.0, 4496.0)	(19.0, 9702.0)	(20.0, 19610.0)	(21.0, 41196.0)	(22.0, 84983.0)	(23.0, 170813.0)	(24.0, 324257.0)	(25.0, 573574.0)	(26.0, 941207.0)	(27.0, 1442787.0)	(28.0, 2114399.0)	(29.0, 3004598.0)	(30.0, 4176975.0)	(31.0, 5726664.0)	(32.0, 7913000.0)	(33.0, 11424196.0)	(34.0, 18631673.0)	(35.0, 41004070.0)	(36.0, 123942609.0)	(37.0, 4145268.0)		
BACW_50_1_val_1	(13.0, 3.0)	(14.0, 53.0)	(15.0, 234.0)	(16.0, 760.0)	(17.0, 1814.0)	(18.0, 4418.0)	(19.0, 10147.0)	(20.0, 22265.0)	(21.0, 48435.0)	(22.0, 100865.0)	(23.0, 197073.0)	(24.0, 354829.0)	(25.0, 599423.0)	(26.0, 933292.0)	(27.0, 1400775.0)	(28.0, 2013803.0)	(29.0, 2862458.0)	(30.0, 3937567.0)	(31.0, 5426967.0)	(32.0, 7446289.0)	(33.0, 10889095.0)	(34.0, 17918180.0)	(35.0, 39789418.0)	(36.0, 123923752.0)	(37.0, 7695396.0)		
BACW_50_2	(11.0, 69.0)	(12.0, 940.0)	(13.0, 3941.0)	(14.0, 9471.0)	(15.0, 18460.0)	(16.0, 32616.0)	(17.0, 50498.0)	(18.0, 72939.0)	(19.0, 98889.0)	(20.0, 135491.0)	(21.0, 194743.0)	(22.0, 300034.0)	(23.0, 475149.0)	(24.0, 740824.0)	(25.0, 1113975.0)	(26.0, 1613572.0)	(27.0, 2255907.0)	(28.0, 3066872.0)	(29.0, 4115208.0)	(30.0, 5491953.0)	(31.0, 7474783.0)	(32.0, 10580044.0)	(33.0, 15959008.0)	(34.0, 26724315.0)	(35.0, 53995814.0)	(36.0, 89142180.0)	(37.0, 2031347.0)
BACW_50_2_val_2	(11.0, 153.0)	(12.0, 1125.0)	(13.0, 3246.0)	(14.0, 7746.0)	(15.0, 16242.0)	(16.0, 27858.0)	(17.0, 41968.0)	(18.0, 57134.0)	(19.0, 75702.0)	(20.0, 104387.0)	(21.0, 156515.0)	(22.0, 250978.0)	(23.0, 417003.0)	(24.0, 664905.0)	(25.0, 1022106.0)	(26.0, 1479879.0)	(27.0, 2096984.0)	(28.0, 2851036.0)	(29.0, 3876747.0)	(30.0, 5172854.0)	(31.0, 7117301.0)	(32.0, 9963113.0)	(33.0, 15152394.0)	(34.0, 25517773.0)	(35.0, 52415721.0)	(36.0, 93093970.0)	(37.0, 3992471.0)
BACW_52_1	(12.0, 2.0)	(13.0, 3.0)	(14.0, 26.0)	(15.0, 221.0)	(16.0, 1021.0)	(17.0, 2774.0)	(18.0, 6423.0)	(19.0, 13934.0)	(20.0, 29891.0)	(21.0, 65082.0)	(22.0, 133022.0)	(23.0, 256553.0)	(24.0, 462443.0)	(25.0, 784093.0)	(26.0, 1237604.0)	(27.0, 1846487.0)	(28.0, 2646348.0)	(29.0, 3695708.0)	(30.0, 5059026.0)	(31.0, 6888561.0)	(32.0, 9596834.0)	(33.0, 13768294.0)	(34.0, 21930527.0)	(35.0, 46205377.0)	(36.0, 124134107.0)	(37.0, 3783859.0)	
BACW_52_1_val_1	(13.0, 4.0)	(14.0, 67.0)	(15.0, 293.0)	(16.0, 987.0)	(17.0, 2714.0)	(18.0, 6434.0)	(19.0, 14833.0)	(20.0, 33290.0)	(21.0, 72278.0)	(22.0, 143866.0)	(23.0, 269699.0)	(24.0, 470049.0)	(25.0, 772283.0)	(26.0, 1180202.0)	(27.0, 1746520.0)	(28.0, 2475786.0)	(29.0, 3474995.0)	(30.0, 4741363.0)	(31.0, 6510890.0)	(32.0, 8935811.0)	(33.0, 13031981.0)	(34.0, 21209755.0)	(35.0, 45169600.0)	(36.0, 124923680.0)	(37.0, 6992856.0)		
BACW_52_2	(11.0, 68.0)	(12.0, 866.0)	(13.0, 4204.0)	(14.0, 14703.0)	(15.0, 40725.0)	(16.0, 83563.0)	(17.0, 136942.0)	(18.0, 188189.0)	(19.0, 237189.0)	(20.0, 299445.0)	(21.0, 394628.0)	(22.0, 554000.0)	(23.0, 801342.0)	(24.0, 1141189.0)	(25.0, 1590552.0)	(26.0, 2167651.0)	(27.0, 2895029.0)	(28.0, 3800985.0)	(29.0, 4970550.0)	(30.0, 6496601.0)	(31.0, 8644076.0)	(32.0, 11990892.0)	(33.0, 17593834.0)	(34.0, 28539397.0)	(35.0, 55686358.0)	(36.0, 92023759.0)	(37.0, 2251483.0)
BACW_52_2_val_2	(11.0, 135.0)	(12.0, 928.0)	(13.0, 3898.0)	(14.0, 13858.0)	(15.0, 38134.0)	(16.0, 75180.0)	(17.0, 113537.0)	(18.0, 145663.0)	(19.0, 179136.0)	(20.0, 227812.0)	(21.0, 315209.0)	(22.0, 454417.0)	(23.0, 687265.0)	(24.0, 1007126.0)	(25.0, 1452173.0)	(26.0, 1991401.0)	(27.0, 2705372.0)	(28.0, 3556517.0)	(29.0, 4717277.0)	(30.0, 6158634.0)	(31.0, 8297633.0)	(32.0, 11358165.0)	(33.0, 16824128.0)	(34.0, 27448901.0)	(35.0, 54390603.0)	(36.0, 95785855.0)	(37.0, 4231279.0)
BACW_53_1	(12.0, 1.0)	(13.0, 2.0)	(14.0, 15.0)	(15.0, 87.0)	(16.0, 350.0)	(17.0, 1083.0)	(18.0, 2866.0)	(19.0, 6690.0)	(20.0, 15765.0)	(21.0, 35576.0)	(22.0, 76396.0)	(23.0, 159551.0)	(24.0, 309143.0)	(25.0, 556326.0)	(26.0, 912162.0)	(27.0, 1380070.0)	(28.0, 1976040.0)	(29.0, 2757647.0)	(30.0, 3788044.0)	(31.0, 5179137.0)	(32.0, 7187294.0)	(33.0, 10444334.0)	(34.0, 17178495.0)	(35.0, 38047186.0)	(36.0, 112858898.0)	(37.0, 3703878.0)	
BACW_53_1_val_1	(13.0, 3.0)	(14.0, 24.0)	(15.0, 101.0)	(16.0, 432.0)	(17.0, 1261.0)	(18.0, 3313.0)	(19.0, 8109.0)	(20.0, 19510.0)	(21.0, 43990.0)	(22.0, 93258.0)	(23.0, 185962.0)	(24.0, 339938.0)	(25.0, 581222.0)	(26.0, 905123.0)	(27.0, 1344691.0)	(28.0, 1891733.0)	(29.0, 2631827.0)	(30.0, 3579735.0)	(31.0, 4921251.0)	(32.0, 6773504.0)	(33.0, 9969657.0)	(34.0, 16551630.0)	(35.0, 36994234.0)	(36.0, 112955408.0)	(37.0, 6696706.0)		
