Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
BACW_50_2	(1.0, 66.45301405414074)	(2.0, 18.94379931261682)	(3.0, 6.120244165986746)	(4.0, 1.9757086192982327)	(5.0, 0.712622336086895)	(6.0, 0.3603893321162919)	(7.0, 0.20470199918633014)	(8.0, 0.18877023526198428)	(9.0, 0.17382988496828697)	('>10', 2.1625846141494898)	('>50', 0.8296956870700678)	('>100', 1.355870247651286)	('>500', 0.27730349740224136)	('>1k', 0.13782462199829357)	('>5k', 0.01522792405881571)	('>10k+', 0.08841346800759267)
BACW_50_2_val_2	(1.0, 67.40839863872608)	(2.0, 18.44113656802933)	(3.0, 5.848045958192054)	(4.0, 1.842099041545001)	(5.0, 0.6873352471691764)	(6.0, 0.36520253479303433)	(7.0, 0.24153015487640622)	(8.0, 0.20764554444619565)	(9.0, 0.15676973122557405)	('>10', 2.0943612965386422)	('>50', 0.8332496626411594)	('>100', 1.316632128523334)	('>500', 0.25406257474748417)	('>1k', 0.151699154229795)	('>5k', 0.012754925850950984)	('>10k+', 0.13907683846565772)
BACW_52_1	(1.0, 58.11669327648712)	(2.0, 21.536339771251917)	(3.0, 8.896758186380204)	(4.0, 3.461121555408237)	(5.0, 1.4200851130153358)	(6.0, 0.631844340361809)	(7.0, 0.350437371408748)	(8.0, 0.21570188951043276)	(9.0, 0.18878126675856488)	('>10', 2.231958255223474)	('>50', 0.9280222582065206)	('>100', 1.454027947097676)	('>500', 0.27331140095162504)	('>1k', 0.19318151032038564)	('>5k', 0.028048773978933468)	('>10k+', 0.07368708363929014)
BACW_52_1_val_1	(1.0, 58.075017580852204)	(2.0, 21.73162348750508)	(3.0, 8.816725318901652)	(4.0, 3.4612083677057157)	(5.0, 1.3935774808442756)	(6.0, 0.6050835746108695)	(7.0, 0.31858876302889155)	(8.0, 0.2507324335264598)	(9.0, 0.17085587667763)	('>10', 2.291765009700334)	('>50', 0.8716040685978357)	('>100', 1.5098127561957138)	('>500', 0.2684568997580311)	('>1k', 0.16684766889123923)	('>5k', 0.009391911009186734)	('>10k+', 0.058708802194820546)
BACW_52_2	(1.0, 59.36308155800922)	(2.0, 21.085961157748134)	(3.0, 8.412128576125665)	(4.0, 3.231934368628707)	(5.0, 1.3519278611408982)	(6.0, 0.5848015731917144)	(7.0, 0.32939844307421245)	(8.0, 0.21565425535874988)	(9.0, 0.1787532652291987)	('>10', 2.3878464249882287)	('>50', 0.8770751301011626)	('>100', 1.4058347677598246)	('>500', 0.2655193388041154)	('>1k', 0.18165169982506735)	('>5k', 0.02243775366477099)	('>10k+', 0.10599382635028001)
BACW_52_2_val_2	(1.0, 60.746795342150406)	(2.0, 20.46248395107536)	(3.0, 8.135753562973896)	(4.0, 3.122158824571403)	(5.0, 1.2361709225918067)	(6.0, 0.5698228776932963)	(7.0, 0.2954554689235386)	(8.0, 0.23861336468303232)	(9.0, 0.17974876012217272)	('>10', 2.2633920478032734)	('>50', 0.8263309625836182)	('>100', 1.3864039375072854)	('>500', 0.24009804464286857)	('>1k', 0.15292480124723462)	('>5k', 0.01854567263528953)	('>10k+', 0.12530145879530857)
BACW_53_1	(1.0, 73.28894190138755)	(2.0, 16.024696243431325)	(3.0, 3.693059980273161)	(4.0, 1.1102038877825537)	(5.0, 0.44939038888890237)	(6.0, 0.2846881733520258)	(7.0, 0.2078266277302605)	(8.0, 0.17889745677797145)	(9.0, 0.1659481800286898)	('>10', 1.9673027846943278)	('>50', 0.8303559326744173)	('>100', 1.3756402900583542)	('>500', 0.23599726428047035)	('>1k', 0.14192561381562208)	('>5k', 0.005865449134740982)	('>10k+', 0.039259825689781654)
BACW_53_1_val_1	(1.0, 73.28416800474193)	(2.0, 16.001613464011665)	(3.0, 3.7085377662086256)	(4.0, 1.1210376061528837)	(5.0, 0.4413428645151173)	(6.0, 0.281654278805585)	(7.0, 0.2097973193146942)	(8.0, 0.16388449722955584)	(9.0, 0.16292772924239132)	('>10', 2.0084082150441014)	('>50', 0.8097665187794305)	('>100', 1.38463386731439)	('>500', 0.22554160725770314)	('>1k', 0.13475722596649467)	('>5k', 0.01095770289288445)	('>10k+', 0.05097133252241349)
BACW_53_2	(1.0, 73.59411332469686)	(2.0, 15.63362531294532)	(3.0, 3.5861346312568285)	(4.0, 1.0898943133730683)	(5.0, 0.45124604067609897)	(6.0, 0.28060441563720606)	(7.0, 0.2577039578338827)	(8.0, 0.18383677695608466)	(9.0, 0.15989973311127834)	('>10', 2.1089121360470364)	('>50', 0.821908586826871)	('>100', 1.37366655949068)	('>500', 0.22234315021299345)	('>1k', 0.159500148452348)	('>5k', 0.009881547615409785)	('>10k+', 0.06672936486791269)
BACW_53_2_val_2	(1.0, 74.38862936321553)	(2.0, 15.179951472515924)	(3.0, 3.4790414731075017)	(4.0, 1.0246287966299132)	(5.0, 0.4171433934019441)	(6.0, 0.31842908980716744)	(7.0, 0.18771235414051657)	(8.0, 0.16479039551469274)	(9.0, 0.1598383065171319)	('>10', 2.0187787606280843)	('>50', 0.8367733874743442)	('>100', 1.3267597667783064)	('>500', 0.2397642995318615)	('>1k', 0.13755551223918552)	('>5k', 0.009736586171750277)	('>10k+', 0.11046704232612885)
