Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
BACW_52_2_val_2 - polya	(1, 0.5957938698185099)	(2, 0.701377217255664)	(3, 0.8019721312023166)	(4, 0.8970471892677485)	(5, 0.9955556406345232)	(6, 1.0905869296452415)	(7, 1.1852895378299986)	(8, 1.282948621785966)	(9, 1.3810648033227617)	(10, 1.5302276772081433)	(12, 1.7252710497812878)	(14, 1.9147863081610013)	(16, 2.112887114372124)	(18, 2.306963851501078)	(20, 2.5165216206990566)	(22, 2.711410356376067)	(24, 2.906296408101609)	(26, 3.095698321146239)	(28, 3.280583556785369)	(30, 3.4708422697217953)	(32, 3.661083433744775)	(34, 3.8515566563408585)	(36, 4.037918891118761)	(38, 4.210938583774441)	(40, 4.381878420500011)	(42, 4.554490978363734)	(44, 4.730525987265121)	(46, 4.904838725155095)	(48, 5.065848560821454)	(50, 5.234633184517997)	(52, 5.41098923530655)	(54, 5.583451078972439)	(56, 5.7547084478024875)	(58, 5.926177642340724)	(60, 6.102244652201924)	(62, 6.277101819324349)	(64, 6.449903698995486)	(66, 6.628103624442748)	(68, 6.8032620135030335)	(70, 6.976100642663507)	(72, 7.143852977333791)	(74, 7.318869323424064)	(76, 7.500447311480859)	(78, 7.6633319904767125)	(80, 7.82137193061452)	(82, 7.984779980146687)	(84, 8.155154328943672)	(86, 8.31674823374109)	(88, 8.478760215594141)	(90, 8.641139485882738)	(92, 8.8021887549899)	(94, 8.963271263803708)	(96, 9.121974759327594)	(98, 9.284853863962706)	(100, 9.442828150518443)	(102, 9.603237813344935)	(104, 9.758082406030853)	(106, 9.915410686113956)	(108, 10.07646160688356)	(110, 10.229301494280483)	(112, 10.376904579447185)	(114, 10.527640868266394)	(116, 10.685030879233267)	(118, 10.806109297870204)										
BACW_52_2_val_2 - polyg	(1, 0.03467789171697727)	(2, 0.03500409504927562)	(3, 0.035325756309858417)	(4, 0.03564535299238869)	(5, 0.03597279507151855)	(6, 0.03629321758526984)	(7, 0.036646260432250964)	(8, 0.036993522460685026)	(9, 0.03733706824862455)	(10, 0.037853006303949596)	(12, 0.03855950491352234)	(14, 0.039209434084456006)	(16, 0.03985337597903736)	(18, 0.040482246453835316)	(20, 0.041138575816731804)	(22, 0.04182195115211631)	(24, 0.0425563215653981)	(26, 0.04327562055889647)	(28, 0.04395466028037069)	(30, 0.044668591370932514)	(32, 0.045387064533209884)	(34, 0.04617366877122045)	(36, 0.04697988650072998)	(38, 0.04771900544353256)	(40, 0.04855763704846666)	(42, 0.04945139288740308)	(44, 0.0503007602982103)	(46, 0.051177999512726544)	(48, 0.05208476219339385)	(50, 0.05299771860821871)	(52, 0.05394350181407867)	(54, 0.05506477415440292)	(56, 0.05607972072502233)	(58, 0.05710849996859364)	(60, 0.05817609327955234)	(62, 0.05934588320411084)	(64, 0.06053797057163657)	(66, 0.061825441445188783)	(68, 0.06305427830204939)	(70, 0.0642990124099144)	(72, 0.06561352925595465)	(74, 0.06686610876041925)	(76, 0.06809969414680064)	(78, 0.06943258573750832)	(80, 0.0708779968320784)	(82, 0.07251851055261174)	(84, 0.07403948520390408)	(86, 0.07549150294824222)	(88, 0.07707441494111023)	(90, 0.07886006849873578)	(92, 0.08076505466779708)	(94, 0.08264423361120186)	(96, 0.08454509062415812)	(98, 0.08646700633325008)	(100, 0.08847067933322189)	(102, 0.09052472803767522)	(104, 0.09258744796994912)	(106, 0.09478044277733713)	(108, 0.09714314590064235)	(110, 0.0995648959562497)	(112, 0.10220611065884005)	(114, 0.10506389959913986)	(116, 0.10807962876045757)	(118, 0.11087775139503953)										
BACW_53_1 - illumina_universal_adapter	(1, 5.324890032791447e-06)	(2, 6.777132769007297e-06)	(3, 1.5006508274230443e-05)	(4, 2.226772195530969e-05)	(5, 2.8560773812245035e-05)	(6, 3.5337906581252334e-05)	(7, 4.066279661404378e-05)	(8, 4.356728208647548e-05)	(9, 5.0344414855482775e-05)	(10, 6.389868039349737e-05)	(12, 9.270149466177838e-05)	(14, 0.00012392471349041912)	(16, 0.00015853649870356355)	(18, 0.00019798909303742746)	(20, 0.0002323588377945359)	(22, 0.0002805248885456949)	(24, 0.0003238501301761344)	(26, 0.0003831500419049482)	(28, 0.0004465646413863737)	(30, 0.0008684411562570779)	(32, 0.005706103751048108)	(34, 0.005804130135742677)	(36, 0.005900462237244996)	(38, 0.006024628991191451)	(40, 0.00618461773263123)	(42, 0.006367116236482355)	(44, 0.006604799964309682)	(46, 0.006890165661976097)	(48, 0.007285901807594915)	(50, 0.00785203443426306)	(52, 0.00855564603995964)	(54, 0.009297984118621976)	(56, 0.010154807332989325)	(58, 0.011297480325935163)	(60, 0.012879214706130258)	(62, 0.014628683122358287)	(64, 0.01631643122229714)	(66, 0.018230003067717555)	(68, 0.020385373328717912)	(70, 0.02343121042747462)	(72, 0.026775483408523686)	(74, 0.029741447156788524)	(76, 0.03294969340154537)	(78, 0.03674658203538171)	(80, 0.04299025763928571)	(82, 0.05079146357778122)	(84, 0.05587479723544876)	(86, 0.060541821308734436)	(88, 0.06593424062875991)	(90, 0.07401960206264166)	(92, 0.08685524948668544)	(94, 0.09768075092335046)	(96, 0.10594110760694621)	(98, 0.11588848626911269)	(100, 0.13030175338559896)	(102, 0.14786324071374518)	(104, 0.16518365574767951)	(106, 0.1811880968221463)	(108, 0.1990119560046355)	(110, 0.22101924242925047)	(112, 0.24795616682195015)	(114, 0.27185161084410175)	(116, 0.2931635150385254)	(118, 0.3180861787560937)	(120, 0.34912472071677897)	(122, 0.394976622667778)	(124, 0.44595663576081124)	(126, 0.4825710637071974)	(128, 0.520279514514866)	(130, 0.5698491578705777)	(132, 0.6486204981661176)	(134, 0.7725001921317141)	(136, 0.895010905277971)	(138, 1.0170866717247313)
BACW_53_1 - polya	(1, 0.019238343607563428)	(2, 0.05130821995141803)	(3, 0.07119039117203715)	(4, 0.08780792072164303)	(5, 0.12044901254174253)	(6, 0.13199046964736197)	(7, 0.14432436720604316)	(8, 0.15195832318941782)	(9, 0.15831575780765875)	(10, 0.16975725220493532)	(12, 0.18898276766832883)	(14, 0.2060241100564537)	(16, 0.22389855569425443)	(18, 0.2422558720418469)	(20, 0.2636592675286521)	(22, 0.2852023203585901)	(24, 0.3047291761897484)	(26, 0.3314698057726029)	(28, 0.35385927407729867)	(30, 0.38940872401712645)	(32, 0.410955407453905)	(34, 0.43147559731663493)	(36, 0.4495594079489068)	(38, 0.46762990635609664)	(40, 0.49007407580385653)	(42, 0.5123122688235299)	(44, 0.5337386581536585)	(46, 0.5539519407181348)	(48, 0.5696073594549977)	(50, 0.5846918047560717)	(52, 0.6011955752913407)	(54, 0.6218651041154448)	(56, 0.6440253601082746)	(58, 0.6604410279175464)	(60, 0.6788177075016218)	(62, 0.7023176574186107)	(64, 0.7206597252174729)	(66, 0.7375577796556245)	(68, 0.7537657767536174)	(70, 0.7716174705885508)	(72, 0.7895398402366467)	(74, 0.804330932505005)	(76, 0.8217527624900185)	(78, 0.8380142505287955)	(80, 0.8555960692552487)	(82, 0.872176324574625)	(84, 0.8926977246396353)	(86, 0.9200693536913755)	(88, 0.9379827678425979)	(90, 0.9539460620395386)	(92, 0.9719282156802753)	(94, 0.9971749715684758)	(96, 1.017299183245131)	(98, 1.037310604069273)	(100, 1.0569592062498177)	(102, 1.07714465416185)	(104, 1.0975358364615126)	(106, 1.11635811252515)	(108, 1.1389973665804751)	(110, 1.1603300862541177)	(112, 1.1837005445271274)	(114, 1.2033285732689087)	(116, 1.2246905798377319)	(118, 1.2482137656385)	(120, 1.2681508800426395)	(122, 1.2850673295554498)	(124, 1.3046401730732549)	(126, 1.3292815857809093)	(128, 1.354334709304281)	(130, 1.3740648791185097)	(132, 1.394674865990429)	(134, 1.418271632089832)	(136, 1.4404231746262446)	(138, 1.4632023280651583)
BACW_53_1_val_1 - polya	(1, 0.07241275671340935)	(2, 0.08238066733444839)	(3, 0.09241928266085943)	(4, 0.09949895449533301)	(5, 0.10937727353764727)	(6, 0.11820616041187176)	(7, 0.12656432828868822)	(8, 0.13626879124039598)	(9, 0.14553062336532296)	(10, 0.1624750544356011)	(12, 0.18416105927503792)	(14, 0.20376587595463824)	(16, 0.23055739008437792)	(18, 0.25299935413673036)	(20, 0.2885919091094693)	(22, 0.31017984749111277)	(24, 0.3307435362024702)	(26, 0.34885871128121954)	(28, 0.36695548376542)	(30, 0.38942359887318395)	(32, 0.41167935772543)	(34, 0.43312177032649624)	(36, 0.4533517909419543)	(38, 0.46902474801254646)	(40, 0.48412867748853516)	(42, 0.5006413740051205)	(44, 0.5213215317688202)	(46, 0.5434930261091846)	(48, 0.5599105618408003)	(50, 0.5782889424494789)	(52, 0.6017897821065975)	(54, 0.6201347474778058)	(56, 0.6370285714130746)	(58, 0.6532427100470447)	(60, 0.6710903210866295)	(62, 0.6890161431530468)	(64, 0.7037970586668225)	(66, 0.7212078502252735)	(68, 0.7374585519089394)	(70, 0.7550189856178009)	(72, 0.7715774464813565)	(74, 0.7920789053664106)	(76, 0.8194186231021852)	(78, 0.837301586494456)	(80, 0.8532302427735166)	(82, 0.871174467434483)	(84, 0.8963736728569411)	(86, 0.9164562305766062)	(88, 0.9364165078982822)	(90, 0.9560063119349611)	(92, 0.9761341497227926)	(94, 0.9964479505713284)	(96, 1.015179128288661)	(98, 1.0377252122838558)	(100, 1.0589492151443551)	(102, 1.082177405834868)	(104, 1.1016451716129596)	(106, 1.1227781300583224)	(108, 1.1460436102167368)	(110, 1.1656786943215822)	(112, 1.1822376394639416)	(114, 1.2012036924011746)	(116, 1.2241074162930625)	(118, 1.241467842855906)										
BACW_53_2 - illumina_universal_adapter	(1, 2.9044854724316985e-06)	(2, 2.9044854724316985e-06)	(3, 9.197537329367045e-06)	(4, 1.5006508274230443e-05)	(5, 2.033139830702189e-05)	(6, 2.371996469152554e-05)	(7, 3.0497097460532835e-05)	(8, 3.2917502020892586e-05)	(9, 3.824239205368403e-05)	(10, 5.0344414855482775e-05)	(12, 7.479050091511624e-05)	(14, 0.0001002047487988936)	(16, 0.0001338483721878941)	(18, 0.00016967035968121837)	(20, 0.00020282990215814695)	(22, 0.0002524481956455218)	(24, 0.00030206648913289665)	(26, 0.0003691116954548617)	(28, 0.0004347046590406109)	(30, 0.0008563391334552791)	(32, 0.005630587128764884)	(34, 0.005732002079843958)	(36, 0.005840194163692037)	(38, 0.0059675074435669604)	(40, 0.006131610872759352)	(42, 0.006331052208532995)	(44, 0.006581322040074193)	(46, 0.006881452205558802)	(48, 0.0072844495648587)	(50, 0.007873576034850262)	(52, 0.008587353339700354)	(54, 0.009333322025203226)	(56, 0.010197164412795622)	(58, 0.011349519023982898)	(60, 0.01293682033466682)	(62, 0.014696696490504394)	(64, 0.01639388416822865)	(66, 0.018306487851824926)	(68, 0.020465730760121856)	(70, 0.023500676038356944)	(72, 0.02684180249347754)	(74, 0.029797116461676793)	(76, 0.03299180844089563)	(78, 0.03679281176248458)	(80, 0.04303842369003687)	(82, 0.050805986005143376)	(84, 0.05584696258300463)	(86, 0.060467030807819316)	(88, 0.06584444361957056)	(90, 0.0738678426967071)	(92, 0.08660812618107272)	(94, 0.09729130782958857)	(96, 0.10543016020425426)	(98, 0.11524683702016134)	(100, 0.12945703219403343)	(102, 0.14675832603194094)	(104, 0.163800878622346)	(106, 0.17943330351588546)	(108, 0.1967580752780285)	(110, 0.2182299682138919)	(112, 0.24447998179236147)	(114, 0.267843420892146)	(116, 0.2886254985283069)	(118, 0.3128900542459134)	(120, 0.343015861646887)	(122, 0.3873368577134585)	(124, 0.436400878556511)	(126, 0.47157807027495546)	(128, 0.5073552802839131)	(130, 0.5543789000825823)	(132, 0.6286194850815847)	(134, 0.7452570865621289)	(136, 0.8601144804885282)	(138, 0.9742239694057766)
BACW_53_2 - polya	(1, 0.4484244802505541)	(2, 0.644519364679044)	(3, 0.7672440415884367)	(4, 0.9190155095457948)	(5, 1.0717081834788258)	(6, 1.172395076866143)	(7, 1.2637513106732734)	(8, 1.3562340007627953)	(9, 1.4554091094617119)	(10, 1.6184562741039619)	(12, 1.830741486677154)	(14, 2.0237716548513167)	(16, 2.2118792042306197)	(18, 2.3996992095481513)	(20, 2.591946376847037)	(22, 2.7798055927184473)	(24, 2.9670800388480743)	(26, 3.1676105566738793)	(28, 3.36497784777975)	(30, 3.579121931055299)	(32, 3.775716629025503)	(34, 3.9735658226793418)	(36, 4.164815299218447)	(38, 4.351206055643088)	(40, 4.542977613445863)	(42, 4.7354213175950495)	(44, 4.927843238103193)	(46, 5.11636879135007)	(48, 5.289521871153191)	(50, 5.460062366273858)	(52, 5.631910121897576)	(54, 5.808684126922994)	(56, 5.983986525975714)	(58, 6.144976588782114)	(60, 6.315609059276076)	(62, 6.496134933410508)	(64, 6.6711127562116825)	(66, 6.845499274178762)	(68, 7.0211342368180745)	(70, 7.201338681226892)	(72, 7.379263346580304)	(74, 7.55556367843326)	(76, 7.7372489263521045)	(78, 7.9147981869582065)	(80, 8.08984499128935)	(82, 8.26010883416877)	(84, 8.438786487380911)	(86, 8.62435358013366)	(88, 8.789446954791238)	(90, 8.950436533516726)	(92, 9.117196598754568)	(94, 9.292973397101118)	(96, 9.458418940622227)	(98, 9.626076975951964)	(100, 9.79373743168626)	(102, 9.960192767989952)	(104, 10.12651352980009)	(106, 10.289957156709326)	(108, 10.458713813669007)	(110, 10.62202891709609)	(112, 10.788035994475203)	(114, 10.94834253503376)	(116, 11.111248832130595)	(118, 11.278480876257708)	(120, 11.438795888232224)	(122, 11.594896249745783)	(124, 11.756920551420826)	(126, 11.932022540975948)	(128, 12.107766179780022)	(130, 12.274664208077805)	(132, 12.445081988687262)	(134, 12.621160127401577)	(136, 12.794100211603386)	(138, 12.964905983063868)
BACW_53_2 - polyg	(1, 0.03686857042522384)	(2, 0.038609809465946644)	(3, 0.03889977393227774)	(4, 0.03914471887378614)	(5, 0.03935142142324087)	(6, 0.03949858202051074)	(7, 0.03965300383146169)	(8, 0.039810330127885075)	(9, 0.03997782212346197)	(10, 0.040256894769271453)	(12, 0.0406589239667472)	(14, 0.041043526251388365)	(16, 0.04141239590638719)	(18, 0.04176795333630404)	(20, 0.042124236887589)	(22, 0.04248269880297827)	(24, 0.04287407822038845)	(26, 0.043315802052654104)	(28, 0.043764060977232726)	(30, 0.04426121207393062)	(32, 0.04481669492053318)	(34, 0.045376292454888355)	(36, 0.04598163563543432)	(38, 0.046547526221646436)	(40, 0.04714706043124754)	(42, 0.047772250929188464)	(44, 0.04845383685338578)	(46, 0.0491368750203193)	(48, 0.049787479766144)	(50, 0.05053054396617444)	(52, 0.05131306076053875)	(54, 0.05205249435372865)	(56, 0.052833800945812776)	(58, 0.053587999006820874)	(60, 0.05440440146503022)	(62, 0.05522806513692064)	(64, 0.05618848166647139)	(66, 0.05711598069400124)	(68, 0.05803282994146552)	(70, 0.05901236766704311)	(72, 0.06005193142571762)	(74, 0.061110616380418974)	(76, 0.06218624416704284)	(78, 0.0632381519889752)	(80, 0.06437840457736067)	(82, 0.06554165100906957)	(84, 0.06666375056325236)	(86, 0.06776019382909532)	(88, 0.06891109619754637)	(90, 0.07014356619968155)	(92, 0.07156966856664551)	(94, 0.07285272502409222)	(96, 0.0740931823612766)	(98, 0.07542053222217787)	(100, 0.07691101735044742)	(102, 0.07849977090386756)	(104, 0.08012942929435778)	(106, 0.08296590139864336)	(108, 0.08775660814496342)	(110, 0.08968833302458654)	(112, 0.09146079528413797)	(114, 0.093183397209746)	(116, 0.09498756676903816)	(118, 0.09694446385608901)	(120, 0.09892193438190293)	(122, 0.10112668089593463)	(124, 0.10352094508704249)	(126, 0.10623179819464541)	(128, 0.10907553151261207)	(130, 0.11192943052973225)	(132, 0.11517761344973504)	(134, 0.11883024597177394)	(136, 0.12289023258132138)	(138, 0.12721961021843686)
BACW_53_2_val_2 - polya	(1, 0.6063766287979044)	(2, 0.7129833432983382)	(3, 0.8147908548519472)	(4, 0.9106548126450735)	(5, 1.0103208433277582)	(6, 1.1073218877524835)	(7, 1.2032308834743741)	(8, 1.3024833400585132)	(9, 1.4016864002046523)	(10, 1.5549044653033657)	(12, 1.7549680298020527)	(14, 1.9513697201249158)	(16, 2.159280780501688)	(18, 2.3636929265201543)	(20, 2.5849652390970173)	(22, 2.7892909413489844)	(24, 2.993624392061814)	(26, 3.1908706646187097)	(28, 3.382808757205863)	(30, 3.579547263436851)	(32, 3.7766848154022665)	(34, 3.973490636386999)	(36, 4.166229968255234)	(38, 4.3433268526175235)	(40, 4.517763835649295)	(42, 4.6933100592814405)	(44, 4.873644589587322)	(46, 5.05237058784599)	(48, 5.216679606112029)	(50, 5.390633763176294)	(52, 5.574346622418306)	(54, 5.752499960991342)	(56, 5.930029548464933)	(58, 6.108754820305396)	(60, 6.292172027337616)	(62, 6.473265906808041)	(64, 6.652756581298096)	(66, 6.837611369959746)	(68, 7.0184740063013)	(70, 7.196767785727473)	(72, 7.3700243391746945)	(74, 7.551630343480262)	(76, 7.739856681174788)	(78, 7.90730842673885)	(80, 8.070599975237856)	(82, 8.239616667756778)	(84, 8.417420357033386)	(86, 8.584882756731133)	(88, 8.75467017896649)	(90, 8.92439851918777)	(92, 9.092713733859217)	(94, 9.260797463262392)	(96, 9.42587914836008)	(98, 9.596113802070857)	(100, 9.760688931539647)	(102, 9.927664146760653)	(104, 10.08863309411607)	(106, 10.251667732709597)	(108, 10.418415579032164)	(110, 10.577869702288927)	(112, 10.732244467310798)	(114, 10.890815508168616)	(116, 11.057507904568133)	(118, 11.185397461803744)										
BACW_55_1 - illumina_universal_adapter	(1, 3.575852042303792e-06)	(2, 5.562436510250343e-06)	(3, 8.740971658964825e-06)	(4, 1.1124873020500686e-05)	(5, 1.986584467946551e-05)	(6, 2.5030964296126543e-05)	(7, 3.0990717699966196e-05)	(8, 3.774510489098447e-05)	(9, 4.012900625252033e-05)	(10, 4.8671319464690496e-05)	(12, 6.734521346338808e-05)	(14, 8.701239969605894e-05)	(16, 0.00011363263156654271)	(18, 0.00014442469081971424)	(20, 0.0001777993098812163)	(22, 0.00021733234079335267)	(24, 0.00026163317442856073)	(26, 0.00031129778612722455)	(28, 0.0003697033694848531)	(30, 0.0007600672174363503)	(32, 0.0056361387940111595)	(34, 0.005723548510600808)	(36, 0.005834002607018636)	(38, 0.0059603493791800365)	(40, 0.006131592960317029)	(42, 0.006363626026173187)	(44, 0.006663202963939527)	(46, 0.007043236572657702)	(48, 0.007543259883239849)	(50, 0.008370076338799203)	(52, 0.009328206027689825)	(54, 0.010283355839878525)	(56, 0.011355714135676074)	(58, 0.01275903740383352)	(60, 0.01481475501126461)	(62, 0.017187730158226763)	(64, 0.019302647982802665)	(66, 0.02151014064358487)	(68, 0.024160641640719162)	(70, 0.028107984978528955)	(72, 0.03230524064240643)	(74, 0.03578573663024878)	(76, 0.03952230335600945)	(78, 0.04418700234519475)	(80, 0.05224101309514366)	(82, 0.0622822042883795)	(84, 0.0684596873499061)	(86, 0.07387173941593288)	(88, 0.08024629165667978)	(90, 0.09096709339640013)	(92, 0.10829825495321263)	(94, 0.12219222806358401)	(96, 0.13188775355939716)	(98, 0.14325995634615718)	(100, 0.16034815862253984)	(102, 0.18227409139526593)	(104, 0.20353233312831515)	(106, 0.2219636651634765)	(108, 0.24185553409947208)	(110, 0.2681855259791889)	(112, 0.30271891976084414)	(114, 0.3331969000096333)	(116, 0.3594279599828464)	(118, 0.389035816234675)	(120, 0.4276450853692162)	(122, 0.4877875395271705)	(124, 0.5532095405671396)	(126, 0.5972765532104702)	(128, 0.6402209469709644)	(130, 0.6958401469538512)	(132, 0.7842971908750009)	(134, 0.9211529948718388)	(136, 1.05433520687055)	(138, 1.1806841642748653)
BACW_55_1 - polya	(1, 0.016798160944062446)	(2, 0.04378908947626506)	(3, 0.06082087275375802)	(4, 0.07551563806315865)	(5, 0.10365163388268565)	(6, 0.11461003112477242)	(7, 0.12604679790674073)	(8, 0.13347622649996724)	(9, 0.1400375176807011)	(10, 0.1515231544405809)	(12, 0.17010546689530612)	(14, 0.18608475772168098)	(16, 0.2026061874493585)	(18, 0.2197255791018879)	(20, 0.23968260800843216)	(22, 0.2599904677320158)	(24, 0.2779891216700583)	(26, 0.30215810696554285)	(28, 0.3225803939544802)	(30, 0.35498377186960317)	(32, 0.37530216049086695)	(34, 0.39450428729959147)	(36, 0.41251664867046284)	(38, 0.43050139651722974)	(40, 0.4572902894090422)	(42, 0.48384456667519016)	(44, 0.5048552799835333)	(46, 0.5251742645801374)	(48, 0.5409199330730817)	(50, 0.5555225208631697)	(52, 0.5716927224569142)	(54, 0.5916521352648201)	(56, 0.6138520180356759)	(58, 0.6304533084589649)	(60, 0.6483279995262075)	(62, 0.6709776450206066)	(64, 0.6886777153131167)	(66, 0.7053521120448261)	(68, 0.721046923975391)	(70, 0.7383937795495004)	(72, 0.7560078307345484)	(74, 0.7710409113788403)	(76, 0.7884594826522424)	(78, 0.8047633813806798)	(80, 0.8228462665001633)	(82, 0.8397644171460898)	(84, 0.8609592868346115)	(86, 0.8920870788628661)	(88, 0.9117546624124304)	(90, 0.928335093698806)	(92, 0.9464833374472849)	(94, 0.9714825163919243)	(96, 0.9917548162535317)	(98, 1.0117907125634535)	(100, 1.0312737424159457)	(102, 1.051307056166059)	(104, 1.071739276077336)	(106, 1.0910472878382023)	(108, 1.113924397254181)	(110, 1.135273823214309)	(112, 1.1603492870025176)	(114, 1.180734623520351)	(116, 1.2023103214513782)	(118, 1.2254051605250442)	(120, 1.2448464721037094)	(122, 1.2614739854419752)	(124, 1.2805308929260928)	(126, 1.3044406289485106)	(128, 1.3290021633348612)	(130, 1.3481667436971416)	(132, 1.3683754728557747)	(134, 1.3921050256669494)	(136, 1.4147942041922605)	(138, 1.436394734429137)
BACW_55_1_val_1 - polya	(1, 0.06630067935866357)	(2, 0.0755268292583259)	(3, 0.08506899764873498)	(4, 0.0918687615515193)	(5, 0.1006679883580219)	(6, 0.1088578361125563)	(7, 0.11684694256164779)	(8, 0.12571970826222353)	(9, 0.1344752092398178)	(10, 0.15018927838064078)	(12, 0.17062235822951383)	(14, 0.1886825168450377)	(16, 0.21290503603012279)	(18, 0.23337210277328369)	(20, 0.265808320165035)	(22, 0.2861704449188158)	(24, 0.30540146198024465)	(26, 0.32343280129944263)	(28, 0.34143909764390207)	(30, 0.36823945319690227)	(32, 0.3947969316456934)	(34, 0.415815341340635)	(36, 0.43614149166245036)	(38, 0.4518951128030586)	(40, 0.4665027197187326)	(42, 0.48267789760077096)	(44, 0.5026381422361305)	(46, 0.5248375468191332)	(48, 0.541439051533028)	(50, 0.5593080090239617)	(52, 0.5819548083382039)	(54, 0.599646477468291)	(56, 0.6163203285536524)	(58, 0.632005975905685)	(60, 0.6493367081935104)	(62, 0.6669309879773926)	(64, 0.6819484251621983)	(66, 0.6993427586557086)	(68, 0.7156276486175535)	(70, 0.7336888010019162)	(72, 0.7505832687694969)	(74, 0.7717441849159262)	(76, 0.8028209265361632)	(78, 0.8224454760577673)	(80, 0.838986957133797)	(82, 0.8570908415782292)	(84, 0.8820274830508947)	(86, 0.9022329898356767)	(88, 0.9222198674759168)	(90, 0.941630955450941)	(92, 0.961578877352699)	(94, 0.9819352382472146)	(96, 1.0011592989267717)	(98, 1.0239255492554409)	(100, 1.0451639793712988)	(102, 1.0700914781706472)	(104, 1.0902882397896472)	(106, 1.1116077614427533)	(108, 1.1344199238917763)	(110, 1.1535746195063834)	(112, 1.1698221437598881)	(114, 1.1882730522828386)	(116, 1.2104593391171687)	(118, 1.227467692793679)										
BACW_55_2 - illumina_universal_adapter	(1, 3.1785351487144818e-06)	(2, 3.973168935893102e-06)	(3, 6.754387191018274e-06)	(4, 9.138288552554134e-06)	(5, 1.4303408169215168e-05)	(6, 1.708462642434034e-05)	(7, 2.304437982817999e-05)	(8, 2.8209499444841025e-05)	(9, 2.9798767019198266e-05)	(10, 3.873839712495775e-05)	(12, 5.463107286853015e-05)	(14, 7.131838239928117e-05)	(16, 9.396544533387186e-05)	(18, 0.0001247575045870434)	(20, 0.00015773480675495617)	(22, 0.00019845978834786044)	(24, 0.0002493163507272922)	(26, 0.00030136486378749177)	(28, 0.0003643395914213974)	(30, 0.0007537101471389215)	(32, 0.005586275523865702)	(34, 0.0056842141381354665)	(36, 0.005806985058254563)	(38, 0.005946244629457616)	(40, 0.006128811742061905)	(42, 0.006368195170449464)	(44, 0.006674725153853617)	(46, 0.007064890343358319)	(48, 0.007598685589895557)	(50, 0.008445963865474762)	(52, 0.009424754032832027)	(54, 0.010394803228530328)	(56, 0.011488020661241315)	(58, 0.01290207148552567)	(60, 0.014986197250848397)	(62, 0.017377250316468865)	(64, 0.019515808496213326)	(66, 0.021747537487504486)	(68, 0.024434392980402193)	(70, 0.028427030444081174)	(72, 0.03264315866040414)	(74, 0.036150274880116975)	(76, 0.03992041488338594)	(78, 0.044618687150079536)	(80, 0.05269991410723931)	(82, 0.062754812733304)	(84, 0.0689428246925107)	(86, 0.0743507049311548)	(88, 0.08073459411890103)	(90, 0.09143056355277207)	(92, 0.10869636648058913)	(94, 0.12254881997558043)	(96, 0.13222308901758656)	(98, 0.14353609158720176)	(100, 0.1604639764970211)	(102, 0.1822568081103948)	(104, 0.2033044718898417)	(106, 0.22146523112046868)	(108, 0.24106388018899538)	(110, 0.26696079665469985)	(112, 0.30094549580630825)	(114, 0.33087060959766795)	(116, 0.356715676208759)	(118, 0.38579827952726253)	(120, 0.42354636429494885)	(122, 0.48225986824510925)	(124, 0.5459714200581762)	(126, 0.5887006667207918)	(128, 0.6298555451925598)	(130, 0.6832159986353913)	(132, 0.767390165102095)	(134, 0.8975821701596529)	(136, 1.0236812152379007)	(138, 1.1427970185944227)
