#Position (bp)	insert size
2.290067969E9	259.95698184705253
2.2961969505E9	264.19057069864664
2.300071854E9	0.0
2.305567583E9	0.0
2.31331739E9	274.223434481191
2.321067197E9	260.26852363721645
2.328817004E9	260.5702529321554
2.336566811E9	262.6212508436787
2.344316618E9	261.216237053527
2.352066425E9	262.3830430334503
2.359816232E9	264.3569617415283
2.367566039E9	264.4423791977046
2.375315846E9	264.27688977791456
2.383065653E9	259.95827495133113
2.39081546E9	263.688400019819
2.3975662905E9	261.7823700230577
2.401441194E9	267.92407348264993
2.406315074E9	263.12718796653013
2.414064881E9	266.24808635873575
2.421814688E9	262.80338222630326
2.429564495E9	268.37309354834713
2.437314302E9	270.05670494746676
2.445064109E9	286.9786524229912
2.452813916E9	258.1945279655753
2.460563723E9	259.43859278531073
2.46831353E9	264.85425964208713
2.476063337E9	259.6067114996961
2.483813144E9	263.0054727019013
2.489234305E9	272.2631578947368
2.4931092085E9	271.2716326977128
2.499312758E9	264.132943068806
2.507062565E9	264.64223001727504
2.514812372E9	260.87402505125965
2.522562179E9	265.86167136087175
2.530311986E9	267.4508957206752
2.538061793E9	267.20588332595867
2.5458116E9	259.68259811879653
2.553561407E9	266.3939023642257
2.561311214E9	261.164225485249
2.569061021E9	270.30953596731985
2.573486964E9	274.96074197408814
2.5773618675E9	259.22907322160796
2.584560635E9	261.5679859863958
2.592310442E9	280.7559013974114
2.600060249E9	257.19002436383323
2.607810056E9	257.02967616370825
2.615559863E9	254.9503743930564
2.62330967E9	258.8501427069941
2.631059477E9	257.13381163429096
2.638809284E9	256.33057003247137
2.646559091E9	255.62329379490302
2.6524226415E9	262.62364808144156
2.656297545E9	274.8229509390897
2.662058705E9	270.07881151056694
2.669808512E9	271.3063339128615
2.677558319E9	261.06633407878894
2.685308126E9	256.7397130421625
2.693057933E9	267.93551078227506
2.70080774E9	268.92846049350175
2.708557547E9	266.25094631960843
2.7127306775E9	272.20334934578943
2.716605581E9	265.6867317995588
2.724057161E9	256.57801408773213
2.731806968E9	258.45907710874286
2.739556775E9	260.4897107818925
2.747306582E9	266.15467509017844
2.755056389E9	260.3781868786939
2.762806196E9	264.27601516144387
2.770556003E9	258.96417481901676
2.775951989E9	265.22636458876576
2.7798268925E9	0.0
2.786055617E9	270.4751429796969
2.793805424E9	257.1701115600229
2.801555231E9	253.69308925257297
2.809305038E9	262.05899462473116
2.817054845E9	262.5712755884946
2.8225564015E9	267.8682589963914
2.826431305E9	0.0
2.832554459E9	265.03367671781666
2.840304266E9	267.4696935050857
2.848054073E9	265.6035643950008
2.85580388E9	263.7897984689892
2.863553687E9	270.1886952028313
2.8712150565E9	261.55426726885986
2.87508996E9	317.8235294117647
2.879053301E9	259.25580888349396
2.886803108E9	258.6794820752492
2.894552915E9	258.1481723187872
2.902302722E9	256.04813288105817
2.910052529E9	254.51797452099729
2.917802336E9	259.39110106962704
2.925552143E9	259.8023758410724
2.93330195E9	259.21164443617164
2.941051757E9	256.8486618402934
2.948801564E9	257.91295443747237
2.956551371E9	255.82277286847807
2.964301178E9	258.4603087018119
2.972050985E9	253.9287059067579
2.979800792E9	256.1296334129065
2.987550599E9	255.63575275401323
2.995300406E9	257.3480761591283
3.003050213E9	256.30448301614837
3.01080002E9	256.725909224073
3.018549827E9	254.66849357329716
3.026299634E9	259.38811868859807
3.0306084775E9	263.48701686527687
3.034483381E9	247.30542340627974
3.041799248E9	222.18674050146132
3.049549055E9	250.2945945945946
3.057298862E9	254.6006600660066
3.065048669E9	0.0
3.072798476E9	0.0
3.080548283E9	0.0
3.0863465095E9	261.7464788732394
3.088278117E9	417.24653537563825
3.088373929E9	275.36690647482015
3.0884774725E9	277.8691525423729
3.0885573295E9	273.6718591263122
3.0886546005E9	322.1799664607959
3.0887081185E9	257.05908683974934
3.0887493115E9	290.0241460541814
3.088858438E9	270.6407766990291
3.088966832E9	289.1378114159571
3.089008063E9	285.70919665576156
3.089109657E9	395.77960632462083
